,,Short-Term Business Traveler and Extended Business Traveler Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tax Matrix US Outbound,,,,,,,,,,,,,,,,,,Frequent Business Traveler - Tax Matrix US Outbounds,,,,,,,,,,,,,,,,,,,,,
,,Prepared by Global Tax Network - 6/9/2010/updated 7/1/2014,,,,,,,,,,,,,,,,,,Prepared by Global Tax Network - 10-03-09,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States (Home Country),Armenia,Australia,Belgium,Brazil,Cambodia,Canada,China,Colombia,Denmark,Dubai,Finland,France,Germany,Hong Kong,India,Indonesia,Ireland,Italy,Japan,Korea,Luxembourg,Macau,Malaysia,Mexico,Netherlands,New Zealand,Norway,Philippines,Poland,Russia,Singapore,Spain,Sweden,Switzerland,Taiwan,Thailand,UK,US,Vietnam,,
"Does the country have an income tax treaty with the U.S.
",No,Yes,Yes,No,No,Yes,"Yes; however, may not be available for the chief officer of the representative office in China.",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No data,No,,
Does country recognize Economic Employer Concept,No data,Yes,Yes,No data,No data,Yes,Yes,No data,Yes,No data,"No - Finnish tax authorizes normally look at who is the legal employer. However, there are no written guidelines regarding this issue.",No - however there is a trend towards taking the economic employer approach where there is a recharge of the remuneration costs to the French entity.,Yes,No data,Yes,No,No - but Revenue may review this position in the future,Yes,No,Yes,Yes,No data,No data,Yes,Yes,No,Yes and no.,Yes,No ,Yes - position has not been established but official clarifications of the Russian financial and tax authorities as well as court practice do use this approach. 60 days before the local tax authority will apply to economic employer approach. ,No,No - position has not been established,No,Yes - depends on Canton,No data,Yes,Yes - 60 days before the local tax authority will apply to economic employer approach. ,No data,No data,,
"How is the treaty applied? (i.e., 60, 90, 120 or 183 days)
",No data,183 days,183 days,No data,No data,"183 days or remuneration under $10,000",183 days,No data,183 days,No data,183 days,183 days,183 days,No data,183 days,120 days,183 days,183 days,183 days,"183 days AND remuneration not to exceed $3,000",183 days,No data,No data,183 days,183 days,183 days,183 days,90 days,183 days,153 days (One hundred fifty-three days),No data,183 days,183 days,183 days,No data,183 days,183 days,No data,No data,,
"How is the 183-day or other rule for employment services applied? (i.e., on a calendar year, fiscal year, rolling 12 month period, or other)
",No data,Taxable Year (Calendar or Fiscal),Rolling 12 month period,No data,No data,Rolling 12 month period,Calendar Year,No data,Rolling 12 month period,No data,Rolling 12 month period,Rolling 12 month period,Calendar Year,No data,Taxable Year (Calendar or Fiscal),Rolling 12 month period,Rolling 12 month period,Fiscal Year,Rolling 12 month period,Taxable Year (Calendar or Fiscal),Rolling 12 month period,No data,No data,Rolling 12 month period,Taxable Year,Rolling 12 month period,Taxable Year,Taxable Year (Calendar or Fiscal),Taxable Year (Calendar or Fiscal),Calendar Year,No data,Rolling 12 month period,Rolling 12 month period,Rolling 12 month Period,No data,Rolling 12 month period,Rolling 12 month period,No data,No data,,
"If the treaty applies, is a return or other filing required to claim the treaty benefits?",No data,Yes,Yes,No data,No data,Yes,No,No data,No data,No data,No data,No data,Yes,No data,No,No,Yes,No data,No,No,Yes,No data,No data,No,Yes,No,No data,"No - however, a tax treaty relief application process should be complied with.",Yes,Yes,No data,Yes ,Yes,No,No data,No ,Yes,No data,No data,,
